Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
164,9.5,10,9.3,8.9,8.4,9.4,9.5,9.8,10,9.7,10,9.4,9.3,9.8,8.3,6.8,9,6.9
159.7,8.8,10,10,8.4,8.5,7.8,9.6,8.8,9.3,9.8,10,10,9.8,9.8,7,6.4,9.2,6.5
159.4,8.9,10,10,6.5,8.9,8.6,9.1,9.8,9.3,9.6,9.8,10,9.8,9.6,8.2,5.2,9.2,6.8
156.2,9.5,9.7,8.8,8,8.9,8,9.7,9.9,9.8,9.4,9.5,7.9,8.9,9.5,7.1,5,9.8,6.9
155.6,10,10,9.4,7.1,8.8,8.5,9.6,9.5,9.8,10,9.5,9.7,7,9.9,6.9,6.2,7.1,6.6
155,9.3,9.2,9.2,7.2,7.8,8.2,9.4,8.8,8.4,9.9,9.4,10,9.8,9.6,6.7,6.8,9.5,5.9
151.2,9.2,8.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,8.4,9.7,7.8,8.6,9.2,6.3,5.4,9.6,6.9
150.1,8.3,8.8,10,8.3,8.4,7.3,8.6,7.6,8.6,10,9.6,8.5,9,8.9,5.9,6.4,9.2,6.8
149.7,8.6,9.8,8.5,6.1,9.2,7.7,9,9.5,8.6,9.7,9.1,9.4,7.4,8.8,7,6,7.4,7.8
149.6,9.6,8.6,7,9.1,9.1,9.7,8.8,9.6,7.6,7.9,9,9.9,6.5,8.7,6.7,4.2,9.8,7.9
148.4,8.9,9.1,9.7,6.9,7.9,7.5,8.4,7.3,8.7,9.8,9.2,9.6,9.5,9,5.7,6.2,9,6.1
145.2,8.5,6.6,9.8,7.3,9.2,7.5,8.8,9.3,8.6,9.5,9.4,6.3,8.3,8.7,6.2,5.4,8.6,7.3
144.6,8.4,8.2,7.6,7.7,8.2,9.2,9.8,8.9,8.4,9.1,8.9,7,6.5,9.2,6.3,4.6,9.7,7
143.2,9.1,8.7,9,7.8,8.3,7.6,8.3,8.1,7.1,8.1,9,8.5,8.8,8.9,6.3,5,8,6.6
142.7,9.8,7.9,7.8,6.3,7.9,8.4,8.1,9.5,7.6,8.3,8.9,8.5,8.4,8.6,6.5,4.8,9.2,6.2
142.4,8.9,8.8,8.1,6.2,7.6,9.1,8.4,8.3,7.9,7.7,7.9,8.7,9.1,8.2,6.9,5.2,9.3,6.1
141.7,9.3,9.2,9,7.4,8.1,9.2,9.3,8.7,8.7,9.8,9.5,8.7,3.5,9.4,6.8,5.4,3.6,6
141.5,9.7,8.7,8.6,6.7,7.6,7.7,7.3,8.7,8.7,8.4,8.7,8.1,8,8.7,6.2,5.2,8.2,6.3
141,8.4,7.8,5.7,8,8.1,8.7,9.7,8.8,7.6,9.5,9.7,9,6,8.8,6.7,4.8,6.5,7.1
140.7,5.6,9.5,9.3,6.2,7.2,6.4,9.6,7,9.5,9.8,9.2,8.1,8.6,8.1,5.8,6.8,8,6
139.2,7.6,8.5,9,5.4,8.4,7.3,9,8.1,8.3,7.8,8.6,6.6,8.9,7.9,6.5,5,9.5,6.8
138.7,8.8,9.2,6.5,7,8,8.3,6.6,9.1,6.4,7.1,8.3,9.8,8.8,8.2,6.5,4,9.5,6.6
138,9.1,8.4,8,6.7,7.8,7.4,8.1,8.3,7.9,8.2,8.6,8.2,7.9,8.4,6.3,4.4,8,6.4
137.5,7.8,9.3,9,7.3,7.8,7.7,9.3,8.5,8.6,9.1,9.4,9.7,6.7,9.1,6.1,0,6.1,6
137.4,8,5,6.6,4.4,8.3,9.3,9.8,9.5,9.7,8.4,7.7,8.4,6.9,8.3,8.2,6,6.7,6.2
136.4,8.7,7.4,6.1,7.3,6.9,8.3,8.7,8.4,9.1,7.5,8.1,8.6,7.1,9.2,7.5,4.6,7.1,5.9
136.1,8.1,7.3,8.6,7.5,7.8,7.3,8.3,8,7.3,7.7,8.9,5.8,8.9,8.2,6.1,4.4,9.5,6.5
135.6,8.3,7.3,7.8,7.2,7.8,6.1,8.5,8.4,8.1,8,9.2,6.8,8.6,7.8,5.9,4.4,8.6,6.8
134.7,7.6,7.7,9,5.9,8.1,7.3,8.1,7.3,7.9,7.6,8.2,7.1,8.3,8.4,5.6,4.2,9.5,6.9
133.7,6.8,8.4,9.5,7.3,7.8,5.9,8.2,5.5,9,8.5,9.3,6.8,9.6,9.1,5.1,4.4,6,6.6
132.9,9.4,7.4,5.3,6.3,8.4,7.7,7.7,8.7,6.8,7.2,7.3,8,9.1,7.9,6.2,4.2,9.2,6.1
131.3,7.2,6.5,8.5,5.4,7.1,8.2,8.9,5.6,9.6,7.3,8.7,7.7,8.4,8.1,5.1,4.6,8.5,6
131.1,8.5,8.3,7.2,5.7,6.5,8,7.7,8.4,7.4,7.8,8.2,7.9,5.8,7,6.7,4.6,9.7,5.6
131,8.9,6.5,5.7,8.1,8,8.4,7.5,8.2,6.8,5,7.6,8.4,8.4,7.4,6.2,4,9.6,6.2
130.4,8.2,8,6,6.2,8.2,7,8.7,8.7,7.5,6.7,6.7,8.2,7.8,7.4,6.6,4.4,8,6.2
129.7,8.7,7.4,6.8,6.4,6.7,7.9,8,8.5,6,8.3,8.3,8.5,7.1,8.5,6.2,3.8,7.2,5.4
129.6,9,8.1,5.9,8,8.5,8.6,7.3,9,6.1,5.4,7.9,7.4,6.3,8.2,6.4,3.8,6.6,7.1
129.4,8.4,7.9,8.2,6.9,7.7,6.7,6.5,7.6,7.7,5.5,8.2,8,7.8,7.6,5.8,4.8,8,6.1
129.1,7.2,6.2,7,7.4,7.3,6.4,8.3,8.1,7.8,6.2,8,8,8.9,6.9,5.8,4.6,8.9,6
128.5,6.7,6,7.5,6.3,7.6,7.2,9,5.4,9.2,7.9,8.7,5.4,8.6,8.2,5.4,4.6,8.6,6.2
126.3,8.9,7.2,6.8,5.9,9.4,5.1,8.6,8.4,7.3,6.1,7.3,6.1,7.6,6.4,6.4,4.2,7.5,7.1
126.3,7.6,5,6.6,7.5,9.1,6.9,7.1,8.9,6.2,6.6,7.1,6.3,7.9,6.5,6.7,4.2,8.2,7.9
125.8,9.3,7.4,6,7.4,8,8.3,8,7.6,6.7,5,5.7,7.2,6.1,7.5,5.8,3.6,9.3,6.9
125.5,9.3,7.6,7.6,7.8,6.8,8.1,6,8.5,6.5,8.1,5,8,2,7.8,6.4,4.6,9.8,5.6
125.3,8.2,7.1,4.8,6.8,7.6,7.4,8.3,8.3,7.8,7.4,7.5,6.5,7.3,6.8,6.3,4,7,6.1
124.6,7.4,5.3,6.7,5.9,6.2,8,9.1,6.3,8.2,7.4,8.3,6.4,8.9,6.4,5.5,4.6,8.5,5.5
124.4,6.3,8.5,8.5,6,6.2,5.3,7.2,5.6,6.8,8.5,9.2,8.2,7.4,7.4,4.8,5.2,7.8,5.5
124.3,5.5,7.3,8.8,6.1,6.7,6.5,8.9,5,9.4,8.6,9.4,7.5,3.7,7.5,4.7,5,8.2,5.5
123.3,8.3,7.2,6.2,5.2,7.3,6.9,7.8,7.4,7,6.6,7.5,8.1,7.5,6.6,6.3,3.8,7.9,5.7
123.1,5.5,5.4,7.4,4.2,6.7,5,8.4,7.3,9,8.9,8,8.8,7.5,6.9,5.6,5.2,7.5,5.9
122.3,7.5,5.8,6.1,6.8,6.1,5.7,8.6,7.3,8.3,6.6,8.3,6.6,8.4,7.2,5.6,3.4,8.4,5.6
121.8,6.2,5.6,8.4,6.4,7,7.6,8.4,5.9,7.6,7.4,8,7.3,7.3,6.7,4.6,4.8,7.2,5.5
121.6,8.3,3.3,6.6,6.6,9.1,4.5,9.6,7.6,9.4,7.5,8.2,5.5,5.1,7.6,6,4.2,5.5,7.1
120.3,8.1,4.3,4.9,5.5,7.9,8.2,7.2,8.6,5.9,7,7.5,7.7,6.1,5.8,6.5,4.2,8.9,6.1
119.7,7.7,6.4,3.7,7.1,6.8,7.8,7.6,7.5,8,5.5,6.8,6.9,8,5.6,6.4,4.2,8.1,5.6
119.6,6.5,8.3,7.5,7.3,8.1,3.8,7.3,6.1,7.3,6.8,7.7,7.1,6.1,6.7,4.5,5.2,6.7,6.6
118.6,7.1,6.5,7.9,6.2,6.5,5.6,7.6,6.4,6.7,8.7,8,5.5,7,5.9,5.1,4.8,7.8,5.2
118.5,6.4,6.9,7.3,6.8,7.5,6.3,6,6.9,7.3,5.6,7.5,7.3,8.8,5.5,5.2,3,8.7,5.5
118.2,7.3,6,7.3,7.1,8.1,6.1,6.9,6.9,6.6,7,6,5.4,7.8,5.3,5.4,4.4,7.6,7
117.8,6.6,4.8,5.9,7.8,7.9,6.8,7.5,6.8,5.4,5.6,6.8,7.3,8.6,5.7,5.4,3.8,8.5,6.6
117.7,9.2,4.6,4.9,7.2,8,8,7,8.5,6.4,6.5,5.6,6.8,5.4,7.1,6.3,3.8,5.5,6.8
117.4,8.3,6.5,3.6,6.2,7.2,7.1,6,8.6,5.1,5.8,6.1,7.3,8.6,5.6,6.3,4.4,8.5,6.1
117.2,6.9,4,7.1,6.4,8.9,6.2,7.2,6.8,6.3,6.7,8,6.3,7.3,5.2,5.5,4.2,7.1,7.1
117.1,8.6,6.8,6,6.4,6.4,6.8,6.2,8.8,6.2,5.5,5.7,7.7,7,6.1,6,3.8,8,5.1
116.3,8.3,7,6.3,6.8,6.8,7.2,5.9,7.8,6.2,6.2,6.6,6.3,7.3,5.2,6,4.2,7,5.2
116.1,7.5,5.2,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.8,6.8,5.2,7.2,5.8,5.5,5.2,8,6.9
115.5,5.3,7.9,6.9,4.7,6.1,4.7,8.2,5.1,7.6,6.9,7.8,6.9,8.8,5.4,4.1,4.8,8.7,5.5
114.8,9,4.9,3.6,6.3,7.5,8.9,8.7,7.8,8.3,6,7,7.5,3.2,6.8,6.1,4.2,3.1,5.8
114.1,6.2,7.4,9.8,3.2,7.5,3.7,6.7,5.9,7.6,7.1,8.1,7.7,8.9,5.9,3.5,5.4,2.8,6.8
114.1,8.1,6.1,8.3,5,8,3.6,8.1,6.8,9.4,6.5,7.2,3.8,9,6.4,4.1,4.2,2.6,6.9
113.8,7,3.9,5.8,6.6,8.1,6.9,6.9,6.8,6.3,6.8,6.3,6.9,4.4,5.4,5.7,4.6,8.5,6.9
113.5,5.2,3.8,7.3,7,7.4,7.3,8.8,4.9,7.3,7,7.9,6.9,7.6,5.8,5.2,0,7.5,6.6
113.4,7.4,4.5,5.3,7.2,6.4,8.2,7.4,7.9,6.6,7.5,7.5,8.1,5.5,6.8,6.2,0,5.5,5.4
112.9,7.5,6,7.3,6.3,6.9,5.5,6.4,6.1,6.5,6.8,7,5.9,7.6,5.5,5,3.8,7.1,5.7
112.8,8.8,4.9,4.7,6.8,6.7,8.5,6,8.2,5.4,5.2,7,7.2,6.1,5.6,6.1,3.6,6.5,5.5
112.4,5.2,7.5,8,5.2,6.3,6.4,8.6,5.4,6.4,7.9,9.4,7.9,1.2,6.5,4.2,5,5.8,5.5
111.9,5.8,7,7.8,5.1,6.2,5.8,7.4,5.9,7.7,7.4,7.3,5.2,6.3,5.4,5.4,4.6,6.1,5.4
